"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18"
78,-62,118,26,-31,97,143,108,239,-1,25,-101,205,90,26,-4,140,-48
94,0,51,29,-101,113,188,114,241,33,3,-104,161,98,61,-6,98,-12
77,63,35,35,-117,77,232,138,253,38,17,-97,152,85,100,-7,109,-21
83,-3,118,17,-97,28,310,150,235,53,22,-95,172,105,111,3,145,-38
137,-59,162,-6,-102,27,389,134,236,75,7,-85,164,145,130,7,142,-19
166,14,85,0,-118,50,400,153,267,42,37,-80,151,160,152,22,146,-1
171,86,11,11,-122,55,382,194,277,29,64,-91,171,145,144,49,174,-25
201,69,48,-9,-147,74,409,187,295,76,26,-87,188,149,140,45,168,-27
189,62,119,-25,-184,91,454,171,330,79,12,-75,186,165,151,29,152,12
111,102,146,-16,-197,64,463,204,315,64,44,-80,194,138,148,54,187,7
93,133,158,-17,-203,36,450,261,290,104,50,-76,191,123,146,83,220,-12
154,158,167,-24,-181,39,447,298,323,139,53,-59,178,177,163,85,217,20
169,183,158,0,-124,47,452,288,361,129,78,-57,194,206,176,85,215,46
129,172,174,27,-110,65,440,252,356,132,71,-56,217,167,176,85,229,37
112,152,223,19,-113,85,420,237,328,182,45,-47,228,155,169,77,268,41
130,175,254,7,-35,65,444,225,336,232,50,-50,262,199,162,74,337,44
179,202,271,24,52,52,488,208,429,220,92,-63,313,256,163,69,385,44
249,202,303,50,93,84,495,230,519,229,121,-63,365,305,172,61,413,61
303,218,323,70,159,110,514,242,520,332,105,-42,435,337,191,60,468,76
364,243,323,84,222,137,565,219,527,405,107,-24,495,357,224,66,526,91
443,239,325,76,196,176,586,255,571,381,147,-15,498,374,248,92,539,112
473,254,315,44,129,149,628,327,570,389,125,2,474,384,247,127,517,118
473,301,294,20,80,92,724,330,580,424,82,3,452,401,258,116,503,133
511,324,302,21,47,104,751,329,642,412,128,-22,431,419,301,80,541,160
533,346,342,26,47,88,734,378,657,428,172,-10,429,404,327,89,579,170
514,387,378,14,76,-6,789,389,621,502,149,21,435,369,325,118,562,181
519,395,404,-3,80,-16,807,351,610,523,173,9,401,362,333,124,558,199
528,393,423,1,101,45,737,325,608,500,223,14,357,395,332,123,597,201
504,435,435,36,213,42,692,290,617,518,204,73,385,436,305,111,610,211
471,458,471,84,328,51,647,246,645,554,191,94,447,439,309,77,621,225
425,420,537,138,352,118,581,230,653,558,239,71,471,436,328,46,659,221
388,380,602,195,382,140,602,216,643,569,280,73,508,501,292,39,668,245
391,360,660,244,480,159,667,202,648,620,289,98,590,609,249,60,672,296
394,358,721,283,526,248,690,232,662,685,278,131,632,677,285,102,745,307
385,388,746,314,472,327,730,270,693,716,267,158,613,717,348,121,809,302
405,414,720,345,434,352,764,261,728,703,299,154,597,744,353,117,797,307
418,404,683,392,458,357,722,218,715,684,339,158,586,731,321,118,777,297
368,379,663,438,469,350,680,158,661,681,314,191,559,699,296,103,777,306
306,352,665,433,411,355,675,118,598,684,272,202,513,684,277,85,755,356
313,331,686,376,324,375,666,148,527,710,277,191,434,683,296,101,760,360
361,350,689,331,299,362,682,178,486,743,296,206,360,701,359,101,813,318
351,397,653,326,334,306,714,138,477,732,294,224,318,710,387,77,798,345
277,399,632,319,325,257,688,119,419,693,297,219,261,671,357,101,703,417
229,361,658,288,268,253,637,152,322,684,317,212,210,639,325,135,661,422
233,362,663,263,245,275,613,148,295,682,326,218,211,657,294,119,673,393
255,395,614,270,245,289,587,128,330,656,317,231,195,659,281,114,663,405
281,392,568,285,222,291,569,130,313,650,319,244,131,633,324,124,652,429
265,379,566,281,234,266,584,94,236,690,312,251,79,642,361,96,664,421
187,388,601,283,289,241,557,54,193,710,287,268,58,656,338,89,666,403
125,369,660,310,291,287,472,93,190,675,295,305,59,632,315,138,652,407
89,331,712,328,242,336,435,143,152,653,331,324,49,625,322,160,637,440
34,347,731,322,218,297,458,147,102,685,350,298,5,651,322,143,646,452
1,370,730,335,195,283,473,142,89,712,363,274,-6,644,312,145,676,432
9,321,724,367,154,338,476,122,58,702,369,292,17,609,308,157,671,433
-27,265,716,366,160,319,462,88,-7,662,358,306,-21,590,313,149,616,456
-101,259,707,349,198,255,401,85,-44,614,341,303,-91,579,318,134,558,453
-123,230,680,352,189,271,341,80,-74,579,306,328,-123,567,318,121,503,446
-107,147,649,330,154,282,321,49,-131,545,272,331,-173,549,308,122,447,453
-134,88,651,276,114,210,318,49,-180,495,288,277,-245,505,292,139,409,458
-196,79,656,258,48,143,320,81,-225,458,303,261,-273,432,295,140,404,468
-222,78,608,268,1,114,331,78,-268,422,289,289,-282,358,326,123,394,479
-201,65,545,254,5,65,350,55,-295,382,294,281,-309,330,328,127,340,469
-190,26,521,245,-1,19,379,48,-335,374,289,275,-345,352,288,149,284,466
-213,-34,541,259,-46,29,377,46,-368,365,252,303,-375,354,277,151,289,474
-246,-77,568,254,-105,72,316,52,-366,323,249,291,-395,301,304,126,294,459
-268,-81,541,237,-177,83,290,79,-393,308,259,254,-408,254,321,109,248,421
-287,-67,482,234,-236,38,355,94,-421,281,249,252,-418,240,312,115,214,395
-309,-72,474,219,-257,-5,395,71,-385,188,257,251,-421,216,285,122,190,389
-329,-108,478,188,-256,-24,345,54,-378,130,242,233,-424,166,252,124,116,379
-330,-137,436,166,-226,-80,314,69,-415,162,166,221,-417,125,232,137,66,342
-300,-140,407,150,-193,-138,326,69,-385,177,131,193,-397,111,219,130,87,297
-263,-134,379,126,-224,-100,265,51,-345,148,150,156,-400,91,201,98,82,275
-259,-124,296,117,-256,-63,158,47,-370,112,125,161,-428,53,172,87,20,279
-276,-136,249,129,-184,-136,118,34,-382,58,102,187,-430,32,143,86,-35,293
-275,-178,265,120,-98,-196,93,1,-382,6,133,173,-395,-5,125,74,-80,307
-269,-211,236,78,-107,-172,12,-21,-435,4,117,146,-365,-92,92,76,-107,287
-276,-243,172,78,-122,-162,-65,-54,-471,-6,54,154,-369,-133,38,59,-109,231
-254,-287,126,115,-51,-199,-119,-96,-444,-70,48,166,-379,-116,20,9,-131,190
-200,-287,63,79,45,-246,-191,-93,-446,-113,62,151,-370,-150,22,12,-182,189
-197,-264,12,-5,73,-267,-265,-80,-517,-111,48,124,-373,-203,-21,58,-225,194
-266,-280,5,-25,42,-249,-321,-105,-575,-145,42,109,-402,-202,-65,35,-259,173
-299,-291,-33,-15,24,-264,-341,-114,-554,-203,15,102,-412,-197,-73,-11,-266,136
-233,-284,-113,-35,35,-325,-309,-94,-502,-219,-37,92,-394,-212,-91,4,-261,109
-177,-336,-139,-44,55,-334,-314,-89,-514,-214,-55,87,-372,-238,-94,21,-310,87
-201,-406,-134,-32,77,-305,-397,-100,-573,-230,-58,87,-351,-296,-77,-1,-374,68
-204,-392,-205,-25,65,-311,-434,-107,-578,-252,-63,67,-354,-318,-115,0,-375,64
-141,-346,-298,-24,20,-314,-408,-97,-534,-272,-45,41,-388,-270,-164,25,-362,66
-109,-344,-297,-57,27,-317,-402,-79,-528,-284,-35,39,-405,-264,-122,19,-380,62
-128,-323,-272,-113,74,-355,-385,-96,-553,-283,-28,27,-396,-307,-67,8,-400,84
-141,-263,-302,-121,82,-352,-355,-113,-567,-265,-1,5,-372,-302,-82,18,-396,108
-126,-266,-294,-96,77,-280,-374,-72,-566,-223,-17,24,-321,-249,-93,14,-344,95
-48,-327,-251,-94,77,-210,-380,-43,-511,-175,-73,38,-294,-201,-65,3,-273,87
24,-314,-288,-91,41,-156,-362,-84,-422,-186,-71,9,-317,-183,-68,7,-261,89
-23,-233,-350,-71,29,-134,-402,-108,-418,-234,-35,9,-305,-200,-96,-13,-293,54
-81,-205,-348,-77,90,-175,-439,-84,-474,-219,-40,20,-258,-215,-95,-39,-308,26
-19,-235,-334,-101,107,-194,-399,-83,-457,-156,-62,-15,-266,-203,-90,-10,-292,14
18,-254,-337,-85,32,-126,-381,-108,-397,-156,-68,-35,-286,-192,-114,10,-273,-26
-48,-242,-348,-45,-3,-71,-432,-116,-392,-209,-72,-11,-260,-198,-130,-34,-283,-49
-98,-217,-396,-45,59,-97,-476,-147,-437,-241,-81,2,-255,-216,-124,-65,-302,-39
-116,-228,-428,-57,119,-132,-487,-220,-502,-252,-73,-1,-278,-245,-141,-55,-292,-73
-159,-274,-409,-32,116,-142,-500,-259,-557,-242,-50,-25,-278,-272,-174,-59,-293,-116
-184,-259,-416,-25,77,-152,-517,-227,-559,-216,-61,-47,-295,-286,-174,-63,-323,-106
-159,-177,-463,-63,32,-138,-510,-212,-533,-224,-91,-14,-338,-278,-151,-60,-350,-65
-112,-129,-487,-90,18,-105,-485,-229,-522,-239,-69,11,-339,-251,-142,-68,-365,-9
-93,-125,-475,-93,40,-104,-488,-203,-514,-226,-38,-8,-328,-235,-137,-54,-350,16
-126,-136,-454,-93,21,-106,-513,-182,-524,-227,-72,14,-363,-226,-147,-44,-319,-14
-155,-170,-471,-77,-51,-83,-525,-231,-572,-250,-103,50,-402,-211,-202,-76,-359,-32
-159,-190,-514,-49,-79,-87,-539,-252,-583,-268,-79,16,-394,-236,-247,-80,-430,-35
-201,-192,-501,-38,-58,-118,-563,-215,-534,-301,-81,-17,-363,-298,-239,-55,-413,-85
-239,-216,-460,-67,-72,-131,-573,-212,-519,-328,-127,-8,-356,-334,-221,-77,-382,-121
-218,-208,-510,-107,-102,-140,-589,-221,-545,-344,-136,-17,-370,-350,-223,-109,-447,-97
-207,-162,-595,-102,-110,-141,-625,-209,-537,-387,-116,-27,-358,-374,-241,-113,-520,-100
-239,-184,-577,-84,-122,-131,-640,-232,-535,-420,-122,-7,-338,-388,-279,-120,-510,-148
-271,-223,-509,-108,-116,-178,-622,-257,-586,-409,-120,3,-360,-416,-283,-113,-478,-158
-308,-200,-503,-117,-89,-251,-592,-258,-631,-419,-80,1,-400,-458,-225,-107,-486,-113
-325,-230,-495,-78,-110,-236,-567,-272,-640,-446,-62,18,-410,-458,-199,-118,-506,-79
-302,-296,-449,-61,-170,-176,-557,-251,-639,-424,-85,39,-400,-432,-245,-77,-515,-94
-303,-247,-449,-85,-195,-186,-547,-202,-633,-386,-98,31,-392,-433,-270,-35,-515,-117
-320,-183,-489,-109,-199,-236,-543,-211,-617,-396,-101,12,-397,-462,-249,-80,-514,-115
-284,-233,-498,-101,-187,-252,-577,-219,-594,-425,-123,24,-390,-497,-244,-104,-526,-118
-259,-263,-510,-67,-142,-238,-594,-204,-566,-438,-138,42,-345,-498,-251,-84,-540,-140
-306,-216,-549,-71,-133,-226,-555,-252,-560,-445,-142,4,-318,-475,-248,-124,-529,-169
-337,-217,-565,-123,-187,-236,-547,-287,-573,-452,-170,-47,-358,-489,-265,-145,-525,-191
-307,-258,-553,-129,-196,-257,-580,-251,-569,-437,-188,-52,-376,-509,-296,-102,-533,-203
-291,-253,-550,-100,-150,-260,-580,-242,-557,-436,-152,-49,-321,-507,-293,-112,-513,-229
-307,-248,-547,-115,-157,-259,-583,-246,-556,-493,-112,-56,-296,-535,-273,-140,-515,-255
-304,-278,-522,-137,-201,-275,-588,-218,-537,-538,-122,-43,-345,-562,-264,-111,-568,-212
-282,-270,-493,-134,-202,-289,-529,-217,-500,-494,-142,-44,-378,-525,-233,-101,-573,-143
-262,-228,-505,-134,-189,-272,-490,-214,-494,-455,-111,-68,-364,-489,-201,-111,-533,-139
-224,-235,-537,-126,-185,-242,-531,-194,-510,-478,-76,-58,-331,-504,-223,-94,-525,-168
-188,-264,-531,-126,-160,-250,-523,-215,-492,-468,-111,-38,-292,-521,-241,-95,-506,-174
-190,-228,-508,-161,-149,-291,-448,-206,-456,-414,-157,-61,-287,-504,-207,-97,-454,-192
-198,-174,-507,-176,-174,-304,-420,-141,-418,-412,-142,-83,-308,-460,-208,-63,-444,-210
-175,-186,-491,-164,-188,-288,-419,-141,-367,-436,-130,-83,-286,-432,-259,-60,-457,-195
-166,-212,-456,-175,-194,-292,-401,-164,-331,-412,-170,-97,-256,-436,-269,-90,-447,-178
-182,-186,-452,-190,-198,-290,-402,-123,-323,-371,-201,-114,-261,-418,-252,-82,-434,-189
-150,-161,-471,-180,-170,-257,-399,-116,-289,-375,-183,-115,-226,-387,-257,-72,-419,-205
-109,-167,-468,-175,-150,-236,-376,-154,-248,-403,-139,-129,-168,-400,-248,-100,-389,-218
-156,-157,-439,-196,-180,-215,-402,-132,-270,-406,-125,-147,-172,-411,-229,-116,-377,-223
-189,-137,-407,-223,-189,-163,-441,-104,-303,-356,-181,-117,-184,-375,-240,-98,-388,-196
-107,-129,-401,-223,-152,-135,-394,-130,-256,-305,-226,-73,-158,-332,-244,-77,-388,-164
-53,-89,-421,-211,-139,-164,-323,-124,-192,-311,-172,-100,-149,-318,-214,-70,-353,-188
-107,-26,-441,-232,-157,-189,-320,-102,-192,-336,-114,-162,-141,-342,-198,-87,-315,-236
-146,-6,-442,-251,-167,-179,-330,-132,-200,-334,-146,-166,-113,-378,-210,-107,-326,-245
-134,-25,-430,-229,-174,-159,-311,-140,-161,-349,-178,-130,-112,-371,-212,-89,-344,-250
-116,-54,-398,-224,-169,-164,-286,-96,-119,-386,-161,-127,-114,-337,-194,-69,-306,-283
-97,-93,-341,-255,-145,-196,-251,-102,-95,-378,-170,-144,-90,-323,-189,-92,-281,-280
-105,-94,-297,-260,-135,-197,-251,-132,-66,-335,-200,-155,-94,-305,-212,-104,-305,-241
-115,-35,-312,-245,-143,-140,-318,-99,-43,-317,-185,-163,-110,-278,-228,-84,-302,-248
-59,16,-360,-247,-111,-112,-346,-73,-37,-299,-166,-147,-66,-277,-214,-85,-283,-267
-19,35,-372,-234,-57,-146,-287,-103,-38,-257,-179,-115,-22,-274,-204,-94,-294,-213
-53,45,-343,-204,-67,-152,-243,-117,-47,-232,-168,-108,-54,-258,-198,-69,-274,-165
-42,45,-327,-207,-124,-113,-224,-106,-52,-232,-138,-109,-96,-260,-160,-51,-218,-187
24,56,-337,-234,-123,-116,-168,-105,-46,-204,-144,-96,-80,-253,-116,-62,-198,-181
40,73,-325,-234,-83,-143,-131,-98,-38,-158,-152,-96,-55,-216,-103,-81,-191,-127
30,53,-286,-212,-94,-114,-152,-91,-37,-131,-141,-102,-66,-181,-116,-88,-171,-133
32,32,-288,-201,-120,-69,-167,-90,-51,-129,-148,-94,-68,-160,-148,-70,-177,-166
15,41,-311,-208,-95,-75,-164,-72,-63,-145,-161,-92,-31,-165,-162,-48,-178,-157
26,22,-283,-218,-70,-103,-146,-61,-30,-168,-154,-98,-6,-190,-137,-45,-146,-154
66,14,-255,-212,-74,-107,-117,-64,22,-170,-133,-105,-19,-171,-137,-35,-121,-171
43,86,-294,-192,-66,-94,-147,-41,36,-175,-93,-123,-22,-127,-166,-33,-124,-165
-5,112,-328,-175,-55,-81,-206,-27,18,-206,-67,-141,-9,-147,-157,-55,-148,-161
-28,20,-307,-152,-52,-89,-200,-68,-14,-233,-93,-125,-15,-194,-152,-49,-178,-184
-60,-67,-278,-101,-33,-117,-188,-101,-52,-255,-116,-84,-11,-201,-189,-37,-170,-217
